Trial ID,Warning Message
IRCT20150303021315N25,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20120520009801N6,Warning: The &lt;study_design&gt; tag exceeded the allowed limit. It will be truncated at 997 characters...
IRCT20120520009801N6,Warning: The &lt;i_keyword&gt; tag exceeded the allowed limit. It will be truncated at 497 characters...
IRCT20120520009801N6,Warning: The &lt;i_keyword&gt; tag exceeded the allowed limit. It will be truncated at 497 characters...
IRCT20120520009801N6,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20211227053550N1,Warning: The &lt;study_design&gt; tag exceeded the allowed limit. It will be truncated at 997 characters...
IRCT20211227053550N1,Warning: The &lt;i_keyword&gt; tag exceeded the allowed limit. It will be truncated at 497 characters...
IRCT20211227053550N1,Warning: The container &lt;health_condition_code&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20211227053550N1,Warning: The container &lt;health_condition_keyword&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20211227053550N1,Warning: The container &lt;secondary_outcome&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20211227053550N1,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20201102049233N2,Warning: The &lt;i_keyword&gt; tag exceeded the allowed limit. It will be truncated at 497 characters...
IRCT20201102049233N2,Warning: The container &lt;secondary_outcome&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20201102049233N2,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20181022041407N4,Warning: The &lt;study_design&gt; tag exceeded the allowed limit. It will be truncated at 997 characters...
IRCT20181022041407N4,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20130829014521N21,Warning: The &lt;study_design&gt; tag exceeded the allowed limit. It will be truncated at 997 characters...
IRCT20130829014521N21,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20230307057644N2,Warning: The &lt;study_design&gt; tag exceeded the allowed limit. It will be truncated at 997 characters...
IRCT20230307057644N2,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20221128056644N1,Warning: The &lt;i_keyword&gt; tag exceeded the allowed limit. It will be truncated at 497 characters...
IRCT20210427051098N3,Warning: The &lt;study_design&gt; tag exceeded the allowed limit. It will be truncated at 997 characters...
IRCT20210427051098N3,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20170211032494N5,Warning: The container &lt;secondary_outcome&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20170211032494N5,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20230612058466N1,Warning: The &lt;i_keyword&gt; tag exceeded the allowed limit. It will be truncated at 497 characters...
IRCT20230612058466N1,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20210331050796N1,Warning: The &lt;study_design&gt; tag exceeded the allowed limit. It will be truncated at 997 characters...
IRCT20210331050796N1,Warning: The container &lt;secondary_outcome&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20210331050796N1,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20230917059447N1,Warning: The container &lt;health_condition_code&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20230917059447N1,Warning: The container &lt;health_condition_keyword&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20230917059447N1,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20230626058585N1,Warning: The &lt;study_design&gt; tag exceeded the allowed limit. It will be truncated at 997 characters...
IRCT20230626058585N1,Warning: The &lt;i_keyword&gt; tag exceeded the allowed limit. It will be truncated at 497 characters...
IRCT20230626058585N1,Warning: The &lt;i_keyword&gt; tag exceeded the allowed limit. It will be truncated at 497 characters...
IRCT20230626058585N1,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20231001059575N1,Warning: The container &lt;health_condition_code&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20231001059575N1,Warning: The container &lt;health_condition_keyword&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20231001059575N1,Warning: The container &lt;secondary_outcome&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20231001059575N1,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20231029059893N1,Warning: The &lt;i_freetext&gt; tag exceeded the allowed limit. It will be truncated at 2997 characters...
IRCT20231029059893N1,Warning: The &lt;i_keyword&gt; tag exceeded the allowed limit. It will be truncated at 497 characters...
IRCT20231029059893N1,Warning: The &lt;i_keyword&gt; tag exceeded the allowed limit. It will be truncated at 497 characters...
IRCT20150303021315N32,Warning: The &lt;study_design&gt; tag exceeded the allowed limit. It will be truncated at 997 characters...
IRCT20150303021315N32,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20110731007160N11,Warning: The container &lt;secondary_outcome&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20110731007160N11,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20231231060581N1,Warning: The &lt;study_design&gt; tag exceeded the allowed limit. It will be truncated at 997 characters...
IRCT20231231060581N1,Warning: The container &lt;secondary_outcome&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20231231060581N1,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20191105045340N4,Warning: The &lt;study_design&gt; tag exceeded the allowed limit. It will be truncated at 997 characters...
IRCT20191105045340N4,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20090901002394N50,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20240805062666N1,Warning: The &lt;i_keyword&gt; tag exceeded the allowed limit. It will be truncated at 497 characters...
IRCT20240805062666N1,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20240809062705N1,Warning: The container &lt;health_condition_code&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20240809062705N1,Warning: The container &lt;health_condition_keyword&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20240809062705N1,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20240802062615N1,Warning: The container &lt;health_condition_code&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20240802062615N1,Warning: The container &lt;health_condition_keyword&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20240802062615N1,Warning: The container &lt;secondary_outcome&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20240802062615N1,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20240903062943N1,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20130812014333N232,Warning: The container &lt;secondary_outcome&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20130812014333N232,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20130525013456N8,Warning: The &lt;i_keyword&gt; tag exceeded the allowed limit. It will be truncated at 497 characters...
IRCT20130525013456N8,Warning: The container &lt;health_condition_code&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20130525013456N8,Warning: The container &lt;health_condition_keyword&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20130525013456N8,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20230522058253N5,Warning: The &lt;study_design&gt; tag exceeded the allowed limit. It will be truncated at 997 characters...
IRCT20230522058253N5,Warning: The &lt;i_keyword&gt; tag exceeded the allowed limit. It will be truncated at 497 characters...
IRCT20230522058253N5,Warning: The &lt;i_keyword&gt; tag exceeded the allowed limit. It will be truncated at 497 characters...
IRCT20230522058253N5,Warning: The container &lt;health_condition_code&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20230522058253N5,Warning: The container &lt;health_condition_keyword&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20230522058253N5,Warning: The container &lt;secondary_outcome&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20230522058253N5,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20240926063168N1,Warning: The &lt;study_design&gt; tag exceeded the allowed limit. It will be truncated at 997 characters...
IRCT20240926063168N1,Warning: The container &lt;secondary_outcome&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20240926063168N1,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20241009063311N1,Warning: The &lt;results_IPD_description&gt; tag exceeded the allowed limit. It will be truncated at 1997 characters...
IRCT20241009063311N1,Warning: The &lt;i_keyword&gt; tag exceeded the allowed limit. It will be truncated at 497 characters...
IRCT20241009063311N1,Warning: The container &lt;secondary_outcome&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20241009063311N1,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20241011063328N1,Warning: The container &lt;secondary_outcome&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20241011063328N1,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
IRCT20150303021315N35,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
