Trial ID,Warning Message
LBCTR2018120174,Warning: The &lt;i_freetext&gt; tag exceeded the allowed limit. It will be truncated at 2997 characters...
LBCTR2018120174,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
LBCTR2018120174,Warning: The container &lt;source_support&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
LBCTR2019020181,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
LBCTR2019020181,Warning: The container &lt;source_support&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
LBCTR2019080216,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
LBCTR2019090265,Warning: The &lt;exclusion_criteria&gt; tag exceeded the allowed limit. It will be truncated at 3997 characters...
LBCTR2020071296,Warning: The &lt;exclusion_criteria&gt; tag exceeded the allowed limit. It will be truncated at 3997 characters...
LBCTR2019040213,Warning: The &lt;i_code&gt; tag exceeded the allowed limit. It will be truncated at 252 characters...
LBCTR2019040213,Warning: The &lt;i_code&gt; tag exceeded the allowed limit. It will be truncated at 252 characters...
LBCTR2019040213,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
LBCTR2019090238,Warning: The &lt;exclusion_criteria&gt; tag exceeded the allowed limit. It will be truncated at 3997 characters...
LBCTR2019090248,Warning: The &lt;exclusion_criteria&gt; tag exceeded the allowed limit. It will be truncated at 3997 characters...
LBCTR2020023398,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
LBCTR2020093402,Warning: The &lt;inclusion_criteria&gt; tag exceeded the allowed limit. It will be truncated at 3997 characters...
LBCTR2020093402,Warning: The &lt;exclusion_criteria&gt; tag exceeded the allowed limit. It will be truncated at 3997 characters...
LBCTR2020093402,Warning: The &lt;i_code&gt; tag exceeded the allowed limit. It will be truncated at 252 characters...
LBCTR2020093402,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
LBCTR2020083421,Warning: The &lt;inclusion_criteria&gt; tag exceeded the allowed limit. It will be truncated at 3997 characters...
LBCTR2020083421,Warning: The &lt;exclusion_criteria&gt; tag exceeded the allowed limit. It will be truncated at 3997 characters...
LBCTR2020083421,Warning: The &lt;i_code&gt; tag exceeded the allowed limit. It will be truncated at 252 characters...
LBCTR2020033424,Warning: The &lt;i_code&gt; tag exceeded the allowed limit. It will be truncated at 252 characters...
LBCTR2020043459,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
LBCTR2018090151,Warning: The container &lt;health_condition_code&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
LBCTR2018090151,Warning: The container &lt;health_condition_keyword&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
LBCTR2018090151,Warning: The container &lt;intervention_code&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
LBCTR2018090151,Warning: The container &lt;intervention_keyword&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
LBCTR2018090151,Warning: The container &lt;primary_outcome&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
LBCTR2018090151,Warning: The container &lt;secondary_outcome&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
LBCTR2018090151,Warning: The container &lt;secondary_sponsor&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
LBCTR2018090151,Warning: The container &lt;source_support&gt; or its subtag was empty. Automatically filled with standard structure '-' to comply with the schema sequence.
